school_year,antigen,age,public_health_unit,coverage,year_of_birth
2022-2023,Diphtheria,7,Northeastern Public Health,88.6,2015
2022-2023,Diphtheria,17,Northeastern Public Health,83.5,2005
2022-2023,Diphtheria,7,Northwestern Health Unit,93.6,2015
2022-2023,Diphtheria,17,Northwestern Health Unit,85.3,2005
2022-2023,Diphtheria,7,Ontario,73.6,2015
2022-2023,Diphtheria,17,Ontario,56.0,2005
2022-2023,Diphtheria,7,Ottawa Public Health,80.6,2015
2022-2023,Diphtheria,17,Ottawa Public Health,68.5,2005
2022-2023,Diphtheria,7,Peel Public Health,65.1,2015
2022-2023,Diphtheria,17,Peel Public Health,54.1,2005
2022-2023,Diphtheria,7,Peterborough Public Health,66.3,2015
2022-2023,Diphtheria,17,Peterborough Public Health,42.3,2005
2022-2023,Diphtheria,7,Porcupine Health Unit,87.9,2015
2022-2023,Diphtheria,17,Porcupine Health Unit,83.5,2005
2022-2023,Diphtheria,7,Public Health Sudbury & Districts,82.9,2015
2022-2023,Diphtheria,17,Public Health Sudbury & Districts,77.6,2005
2022-2023,Diphtheria,7,Region of Waterloo Public Health and Emergency Services,81.5,2015
2022-2023,Diphtheria,17,Region of Waterloo Public Health and Emergency Services,60.7,2005
2022-2023,Diphtheria,7,Region of Waterloo Public Health and Paramedic Services,80.4,2015
2022-2023,Diphtheria,17,Region of Waterloo Public Health and Paramedic Services,60.7,2005
2022-2023,Diphtheria,7,Renfrew County and District Health Unit,83.7,2015
2022-2023,Diphtheria,17,Renfrew County and District Health Unit,73.7,2005
2022-2023,Diphtheria,7,Simcoe Muskoka District Health Unit,76.4,2015
2022-2023,Diphtheria,17,Simcoe Muskoka District Health Unit,44.9,2005
2022-2023,Diphtheria,7,Southeast Public Health,85.5,2015
2022-2023,Diphtheria,17,Southeast Public Health,62.8,2005
2022-2023,Diphtheria,7,Southwestern Public Health,87.9,2015
2022-2023,Diphtheria,17,Southwestern Public Health,67.7,2005
2022-2023,Diphtheria,7,Thunder Bay District Health Unit,75.0,2015
2022-2023,Diphtheria,17,Thunder Bay District Health Unit,68.9,2005
2022-2023,Diphtheria,7,Timiskaming Health Unit,87.6,2015
2022-2023,Diphtheria,17,Timiskaming Health Unit,83.2,2005
2022-2023,Diphtheria,7,Toronto Public Health,57.2,2015
2022-2023,Diphtheria,17,Toronto Public Health,52.3,2005
2022-2023,Diphtheria,7,Wellington-Dufferin-Guelph Public Health,87.6,2015
2022-2023,Diphtheria,17,Wellington-Dufferin-Guelph Public Health,81.9,2005
2022-2023,Diphtheria,7,Windsor-Essex County Health Unit,90.4,2015
2022-2023,Diphtheria,17,Windsor-Essex County Health Unit,75.3,2005
2022-2023,Diphtheria,7,York Region Public Health,75.0,2015
2022-2023,Diphtheria,17,York Region Public Health,32.6,2005
2022-2023,HPV,12,Algoma Public Health,70.1,2010
2022-2023,HPV,17,Algoma Public Health,64.8,2005
2022-2023,HPV,12,Brant County Health Unit,59.1,2010
2022-2023,HPV,17,Brant County Health Unit,70.0,2005
2022-2023,HPV,12,Chatham-Kent Public Health,66.2,2010
2022-2023,HPV,17,Chatham-Kent Public Health,65.8,2005
2022-2023,HPV,12,City of Hamilton Public Health Services,64.5,2010
2022-2023,HPV,17,City of Hamilton Public Health Services,66.7,2005
2022-2023,HPV,12,Durham Region Health Department,73.1,2010
2022-2023,HPV,17,Durham Region Health Department,78.1,2005
2022-2023,HPV,12,Eastern Ontario Health Unit,60.4,2010
2022-2023,HPV,17,Eastern Ontario Health Unit,60.4,2005
2022-2023,HPV,12,Grand Erie Public Health,62.3,2010
2022-2023,HPV,17,Grand Erie Public Health,66.2,2005
2022-2023,HPV,12,Grey Bruce Health Unit,71.5,2010
2022-2023,HPV,17,Grey Bruce Health Unit,74.1,2005
2022-2023,HPV,12,Grey Bruce Public Health,70.4,2010
2022-2023,HPV,17,Grey Bruce Public Health,74.0,2005
2022-2023,HPV,12,Haldimand-Norfolk Health Unit,63.0,2010
2022-2023,HPV,17,Haldimand-Norfolk Health Unit,61.0,2005
2022-2023,HPV,12,"Haliburton, Kawartha, Pine Ridge District Health Unit",61.6,2010
2022-2023,HPV,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",67.1,2005
2022-2023,HPV,12,Halton Region Public Health,69.4,2010
2022-2023,HPV,17,Halton Region Public Health,63.7,2005
2022-2023,HPV,12,Hastings Prince Edward Public Health,56.9,2010
2022-2023,HPV,17,Hastings Prince Edward Public Health,64.1,2005
2022-2023,HPV,12,Huron Perth Public Health,66.8,2010
2022-2023,HPV,17,Huron Perth Public Health,69.1,2005
2022-2023,HPV,12,"Kingston, Frontenac and Lennox & Addington Public Health",80.0,2010
2022-2023,HPV,17,"Kingston, Frontenac and Lennox & Addington Public Health",80.6,2005
2022-2023,HPV,12,Lakelands Public Health,65.9,2010
2022-2023,HPV,17,Lakelands Public Health,69.3,2005
2022-2023,HPV,12,Lambton Public Health,63.5,2010
2022-2023,HPV,17,Lambton Public Health,55.2,2005
2022-2023,HPV,12,"Leeds, Grenville & Lanark District Health Unit",58.5,2010
2022-2023,HPV,17,"Leeds, Grenville & Lanark District Health Unit",65.4,2005
2022-2023,HPV,12,Middlesex-London Health Unit,68.2,2010
2022-2023,HPV,17,Middlesex-London Health Unit,62.9,2005
2022-2023,HPV,12,Niagara Region Public Health,68.0,2010
2022-2023,HPV,17,Niagara Region Public Health,65.5,2005
2022-2023,HPV,12,North Bay Parry Sound District Health Unit,72.9,2010
2022-2023,HPV,17,North Bay Parry Sound District Health Unit,67.5,2005
2022-2023,HPV,12,Northeastern Public Health,69.4,2010
2022-2023,HPV,17,Northeastern Public Health,68.6,2005
2022-2023,HPV,12,Northwestern Health Unit,65.0,2010
2022-2023,HPV,17,Northwestern Health Unit,66.7,2005
2022-2023,HPV,12,Ontario,65.5,2010
2022-2023,HPV,17,Ontario,68.9,2005
2022-2023,HPV,12,Ottawa Public Health,65.6,2010
2022-2023,HPV,17,Ottawa Public Health,68.1,2005
2022-2023,HPV,12,Peel Public Health,61.7,2010
2022-2023,HPV,17,Peel Public Health,72.8,2005
2022-2023,HPV,12,Peterborough Public Health,66.2,2010
2022-2023,HPV,17,Peterborough Public Health,72.8,2005
2022-2023,HPV,12,Porcupine Health Unit,66.9,2010
2022-2023,HPV,17,Porcupine Health Unit,71.4,2005
2022-2023,HPV,12,Public Health Sudbury & Districts,64.0,2010
2022-2023,HPV,17,Public Health Sudbury & Districts,73.0,2005
2022-2023,HPV,12,Region of Waterloo Public Health and Emergency Services,63.2,2010
2022-2023,HPV,17,Region of Waterloo Public Health and Emergency Services,65.9,2005
2022-2023,HPV,12,Region of Waterloo Public Health and Paramedic Services,61.0,2010
2022-2023,HPV,17,Region of Waterloo Public Health and Paramedic Services,65.9,2005
2022-2023,HPV,12,Renfrew County and District Health Unit,70.6,2010
2022-2023,HPV,17,Renfrew County and District Health Unit,71.7,2005
2022-2023,HPV,12,Simcoe Muskoka District Health Unit,62.9,2010
2022-2023,HPV,17,Simcoe Muskoka District Health Unit,72.1,2005
2022-2023,HPV,12,Southeast Public Health,68.2,2010
2022-2023,HPV,17,Southeast Public Health,70.9,2005
2022-2023,HPV,12,Southwestern Public Health,62.8,2010
2022-2023,HPV,17,Southwestern Public Health,60.2,2005
2022-2023,HPV,12,Thunder Bay District Health Unit,65.6,2010
2022-2023,HPV,17,Thunder Bay District Health Unit,64.6,2005
2022-2023,HPV,12,Timiskaming Health Unit,72.9,2010
2022-2023,HPV,17,Timiskaming Health Unit,60.7,2005
2022-2023,HPV,12,Toronto Public Health,63.3,2010
2022-2023,HPV,17,Toronto Public Health,71.9,2005
2022-2023,HPV,12,Wellington-Dufferin-Guelph Public Health,71.5,2010
2022-2023,HPV,17,Wellington-Dufferin-Guelph Public Health,72.4,2005
2022-2023,HPV,12,Windsor-Essex County Health Unit,60.0,2010
2022-2023,HPV,17,Windsor-Essex County Health Unit,67.0,2005
2022-2023,HPV,12,York Region Public Health,66.3,2010
2022-2023,HPV,17,York Region Public Health,65.1,2005
2022-2023,HepB,12,Algoma Public Health,74.8,2010
2022-2023,HepB,17,Algoma Public Health,73.6,2005
2022-2023,HepB,12,Brant County Health Unit,66.0,2010
2022-2023,HepB,17,Brant County Health Unit,79.1,2005
2022-2023,HepB,12,Chatham-Kent Public Health,75.0,2010
2022-2023,HepB,17,Chatham-Kent Public Health,82.1,2005
2022-2023,HepB,12,City of Hamilton Public Health Services,72.4,2010
2022-2023,HepB,17,City of Hamilton Public Health Services,76.9,2005
2022-2023,HepB,12,Durham Region Health Department,79.5,2010
2022-2023,HepB,17,Durham Region Health Department,84.7,2005
2022-2023,HepB,12,Eastern Ontario Health Unit,66.3,2010
2022-2023,HepB,17,Eastern Ontario Health Unit,70.4,2005
2022-2023,HepB,12,Grand Erie Public Health,68.1,2010
2022-2023,HepB,17,Grand Erie Public Health,76.0,2005
2022-2023,HepB,12,Grey Bruce Health Unit,80.0,2010
2022-2023,HepB,17,Grey Bruce Health Unit,84.2,2005
2022-2023,HepB,12,Grey Bruce Public Health,78.2,2010
2022-2023,HepB,17,Grey Bruce Public Health,84.2,2005
2022-2023,HepB,12,Haldimand-Norfolk Health Unit,66.6,2010
2022-2023,HepB,17,Haldimand-Norfolk Health Unit,72.0,2005
2022-2023,HepB,12,"Haliburton, Kawartha, Pine Ridge District Health Unit",67.0,2010
2022-2023,HepB,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",76.6,2005
2022-2023,HepB,12,Halton Region Public Health,78.7,2010
2022-2023,HepB,17,Halton Region Public Health,71.6,2005
2022-2023,HepB,12,Hastings Prince Edward Public Health,63.5,2010
2022-2023,HepB,17,Hastings Prince Edward Public Health,78.8,2005
2022-2023,HepB,12,Huron Perth Public Health,74.3,2010
2022-2023,HepB,17,Huron Perth Public Health,80.6,2005
2022-2023,HepB,12,"Kingston, Frontenac and Lennox & Addington Public Health",86.2,2010
2022-2023,HepB,17,"Kingston, Frontenac and Lennox & Addington Public Health",89.2,2005
2022-2023,HepB,12,Lakelands Public Health,71.2,2010
2022-2023,HepB,17,Lakelands Public Health,77.6,2005
2022-2023,HepB,12,Lambton Public Health,69.7,2010
2022-2023,HepB,17,Lambton Public Health,64.4,2005
2022-2023,HepB,12,"Leeds, Grenville & Lanark District Health Unit",65.3,2010
2022-2023,HepB,17,"Leeds, Grenville & Lanark District Health Unit",74.5,2005
2022-2023,HepB,12,Middlesex-London Health Unit,75.7,2010
2022-2023,HepB,17,Middlesex-London Health Unit,72.9,2005
2022-2023,HepB,12,Niagara Region Public Health,75.3,2010
2022-2023,HepB,17,Niagara Region Public Health,78.8,2005
2022-2023,HepB,12,North Bay Parry Sound District Health Unit,78.1,2010
2022-2023,HepB,17,North Bay Parry Sound District Health Unit,74.9,2005
2022-2023,HepB,12,Northeastern Public Health,73.5,2010
2022-2023,HepB,17,Northeastern Public Health,78.7,2005
2022-2023,HepB,12,Northwestern Health Unit,67.0,2010
2022-2023,HepB,17,Northwestern Health Unit,73.8,2005
2022-2023,HepB,12,Ontario,73.3,2010
2022-2023,HepB,17,Ontario,76.7,2005
2022-2023,HepB,12,Ottawa Public Health,74.0,2010
2022-2023,HepB,17,Ottawa Public Health,77.5,2005
2022-2023,HepB,12,Peel Public Health,71.7,2010
2022-2023,HepB,17,Peel Public Health,79.5,2005
2022-2023,HepB,12,Peterborough Public Health,70.9,2010
2022-2023,HepB,17,Peterborough Public Health,79.3,2005
2022-2023,HepB,12,Porcupine Health Unit,70.3,2010
2022-2023,HepB,17,Porcupine Health Unit,81.0,2005
2022-2023,HepB,12,Public Health Sudbury & Districts,70.0,2010
2022-2023,HepB,17,Public Health Sudbury & Districts,80.2,2005
2022-2023,HepB,12,Region of Waterloo Public Health and Emergency Services,72.8,2010
2022-2023,HepB,17,Region of Waterloo Public Health and Emergency Services,76.4,2005
2022-2023,HepB,12,Region of Waterloo Public Health and Paramedic Services,70.5,2010
2022-2023,HepB,17,Region of Waterloo Public Health and Paramedic Services,76.3,2005
2022-2023,HepB,12,Renfrew County and District Health Unit,76.1,2010
2022-2023,HepB,17,Renfrew County and District Health Unit,75.9,2005
2022-2023,HepB,12,Simcoe Muskoka District Health Unit,69.1,2010
2022-2023,HepB,17,Simcoe Muskoka District Health Unit,77.7,2005
2022-2023,HepB,12,Southeast Public Health,74.6,2010
2022-2023,HepB,17,Southeast Public Health,81.5,2005
2022-2023,HepB,12,Southwestern Public Health,72.7,2010
2022-2023,HepB,17,Southwestern Public Health,72.6,2005
2022-2023,HepB,12,Thunder Bay District Health Unit,69.0,2010
2022-2023,HepB,17,Thunder Bay District Health Unit,65.3,2005
2022-2023,HepB,12,Timiskaming Health Unit,75.9,2010
2022-2023,HepB,17,Timiskaming Health Unit,72.3,2005
2022-2023,HepB,12,Toronto Public Health,70.1,2010
2022-2023,HepB,17,Toronto Public Health,76.8,2005
2022-2023,HepB,12,Wellington-Dufferin-Guelph Public Health,79.2,2010
2022-2023,HepB,17,Wellington-Dufferin-Guelph Public Health,81.1,2005
2022-2023,HepB,12,Windsor-Essex County Health Unit,70.9,2010
2022-2023,HepB,17,Windsor-Essex County Health Unit,75.3,2005
2022-2023,HepB,12,York Region Public Health,75.2,2010
2022-2023,HepB,17,York Region Public Health,71.4,2005
2022-2023,Hib,7,Algoma Public Health,87.8,2015
2022-2023,Hib,7,Brant County Health Unit,78.0,2015
2022-2023,Hib,7,Chatham-Kent Public Health,90.6,2015
2022-2023,Hib,7,City of Hamilton Public Health Services,83.2,2015
2022-2023,Hib,7,Durham Region Health Department,88.7,2015
2022-2023,Hib,7,Eastern Ontario Health Unit,88.7,2015
2022-2023,Hib,7,Grand Erie Public Health,78.9,2015
2022-2023,Hib,7,Grey Bruce Health Unit,91.2,2015
2022-2023,Hib,7,Grey Bruce Public Health,90.9,2015
2022-2023,Hib,7,Haldimand-Norfolk Health Unit,79.5,2015
2022-2023,Hib,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",88.9,2015
2022-2023,Hib,7,Halton Region Public Health,62.6,2015
2022-2023,Hib,7,Hastings Prince Edward Public Health,92.1,2015
2022-2023,Hib,7,Huron Perth Public Health,91.2,2015
2022-2023,Hib,7,"Kingston, Frontenac and Lennox & Addington Public Health",91.4,2015
2022-2023,Hib,7,Lakelands Public Health,86.4,2015
2022-2023,Hib,7,Lambton Public Health,90.3,2015
2022-2023,Hib,7,"Leeds, Grenville & Lanark District Health Unit",85.4,2015
2022-2023,Hib,7,Middlesex-London Health Unit,82.9,2015
2022-2023,Hib,7,Niagara Region Public Health,84.7,2015
2022-2023,Hib,7,North Bay Parry Sound District Health Unit,94.3,2015
2022-2023,Hib,7,Northeastern Public Health,89.0,2015
2022-2023,Hib,7,Northwestern Health Unit,90.9,2015
2022-2023,Hib,7,Ontario,80.1,2015
2022-2023,Hib,7,Ottawa Public Health,84.2,2015
2022-2023,Hib,7,Peel Public Health,77.7,2015
2022-2023,Hib,7,Peterborough Public Health,80.6,2015
2022-2023,Hib,7,Porcupine Health Unit,87.0,2015
2022-2023,Hib,7,Public Health Sudbury & Districts,88.6,2015
2022-2023,Hib,7,Region of Waterloo Public Health and Emergency Services,84.9,2015
2022-2023,Hib,7,Region of Waterloo Public Health and Paramedic Services,84.1,2015
2022-2023,Hib,7,Renfrew County and District Health Unit,92.0,2015
2022-2023,Hib,7,Simcoe Muskoka District Health Unit,84.1,2015
2022-2023,Hib,7,Southeast Public Health,91.1,2015
2022-2023,Hib,7,Southwestern Public Health,86.2,2015
2022-2023,Hib,7,Thunder Bay District Health Unit,82.6,2015
2022-2023,Hib,7,Timiskaming Health Unit,92.6,2015
2022-2023,Hib,7,Toronto Public Health,65.2,2015
2022-2023,Hib,7,Wellington-Dufferin-Guelph Public Health,86.8,2015
2022-2023,Hib,7,Windsor-Essex County Health Unit,86.5,2015
2022-2023,Hib,7,York Region Public Health,76.0,2015
2022-2023,MCC,7,Algoma Public Health,92.5,2015
2022-2023,MCC,7,Brant County Health Unit,92.4,2015
2022-2023,MCC,7,Chatham-Kent Public Health,94.2,2015
2022-2023,MCC,7,City of Hamilton Public Health Services,90.5,2015
2022-2023,MCC,7,Durham Region Health Department,94.0,2015
2022-2023,MCC,7,Eastern Ontario Health Unit,92.5,2015
2022-2023,MCC,7,Grand Erie Public Health,93.3,2015
2022-2023,MCC,7,Grey Bruce Health Unit,94.8,2015
2022-2023,MCC,7,Grey Bruce Public Health,94.7,2015
2022-2023,MCC,7,Haldimand-Norfolk Health Unit,93.8,2015
2022-2023,MCC,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",94.2,2015
2022-2023,MCC,7,Halton Region Public Health,65.6,2015
2022-2023,MCC,7,Hastings Prince Edward Public Health,96.5,2015
2022-2023,MCC,7,Huron Perth Public Health,92.0,2015
2022-2023,MCC,7,"Kingston, Frontenac and Lennox & Addington Public Health",98.1,2015
2022-2023,MCC,7,Lakelands Public Health,91.5,2015
2022-2023,MCC,7,Lambton Public Health,96.5,2015
2022-2023,MCC,7,"Leeds, Grenville & Lanark District Health Unit",89.8,2015
2022-2023,MCC,7,Middlesex-London Health Unit,94.3,2015
2022-2023,MCC,7,Niagara Region Public Health,93.2,2015
2022-2023,MCC,7,North Bay Parry Sound District Health Unit,96.7,2015
2022-2023,MCC,7,Northeastern Public Health,97.0,2015
2022-2023,MCC,7,Northwestern Health Unit,96.5,2015
2022-2023,MCC,7,Ontario,86.4,2015
2022-2023,MCC,7,Ottawa Public Health,91.5,2015
2022-2023,MCC,7,Peel Public Health,84.8,2015
2022-2023,MCC,7,Peterborough Public Health,85.9,2015
2022-2023,MCC,7,Porcupine Health Unit,97.1,2015
2022-2023,MCC,7,Public Health Sudbury & Districts,96.3,2015
2022-2023,MCC,7,Region of Waterloo Public Health and Emergency Services,90.9,2015
2022-2023,MCC,7,Region of Waterloo Public Health and Paramedic Services,90.0,2015
2022-2023,MCC,7,Renfrew County and District Health Unit,95.4,2015
2022-2023,MCC,7,Simcoe Muskoka District Health Unit,91.3,2015
2022-2023,MCC,7,Southeast Public Health,96.3,2015
2022-2023,MCC,7,Southwestern Public Health,91.6,2015
2022-2023,MCC,7,Thunder Bay District Health Unit,91.6,2015
2022-2023,MCC,7,Timiskaming Health Unit,96.0,2015
2022-2023,MCC,7,Toronto Public Health,70.2,2015
2022-2023,MCC,7,Wellington-Dufferin-Guelph Public Health,94.9,2015
2022-2023,MCC,7,Windsor-Essex County Health Unit,95.5,2015
2022-2023,MCC,7,York Region Public Health,82.0,2015
2022-2023,MCV4,12,Algoma Public Health,94.2,2010
2022-2023,MCV4,17,Algoma Public Health,86.6,2005
2022-2023,MCV4,12,Brant County Health Unit,75.4,2010
2022-2023,MCV4,17,Brant County Health Unit,92.9,2005
2022-2023,MCV4,12,Chatham-Kent Public Health,88.6,2010
2022-2023,MCV4,17,Chatham-Kent Public Health,93.6,2005
2022-2023,MCV4,12,City of Hamilton Public Health Services,90.9,2010
2022-2023,MCV4,17,City of Hamilton Public Health Services,90.7,2005
2022-2023,MCV4,12,Durham Region Health Department,93.4,2010
2022-2023,MCV4,17,Durham Region Health Department,94.3,2005
2022-2023,MCV4,12,Eastern Ontario Health Unit,77.2,2010
2022-2023,MCV4,17,Eastern Ontario Health Unit,86.7,2005
2022-2023,MCV4,12,Grand Erie Public Health,77.3,2010
2022-2023,MCV4,17,Grand Erie Public Health,90.1,2005
2022-2023,MCV4,12,Grey Bruce Health Unit,91.6,2010
2022-2023,MCV4,17,Grey Bruce Health Unit,93.2,2005
2022-2023,MCV4,12,Grey Bruce Public Health,90.5,2010
2022-2023,MCV4,17,Grey Bruce Public Health,93.3,2005
2022-2023,MCV4,12,Haldimand-Norfolk Health Unit,74.3,2010
2022-2023,MCV4,17,Haldimand-Norfolk Health Unit,86.4,2005
2022-2023,MCV4,12,"Haliburton, Kawartha, Pine Ridge District Health Unit",88.4,2010
2022-2023,MCV4,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",91.0,2005
2022-2023,MCV4,12,Halton Region Public Health,92.7,2010
2022-2023,MCV4,17,Halton Region Public Health,92.8,2005
2022-2023,MCV4,12,Hastings Prince Edward Public Health,92.6,2010
2022-2023,MCV4,17,Hastings Prince Edward Public Health,95.3,2005
2022-2023,MCV4,12,Huron Perth Public Health,89.7,2010
2022-2023,MCV4,17,Huron Perth Public Health,91.4,2005
2022-2023,MCV4,12,"Kingston, Frontenac and Lennox & Addington Public Health",94.6,2010
2022-2023,MCV4,17,"Kingston, Frontenac and Lennox & Addington Public Health",98.1,2005
2022-2023,MCV4,12,Lakelands Public Health,89.3,2010
2022-2023,MCV4,17,Lakelands Public Health,92.2,2005
2022-2023,MCV4,12,Lambton Public Health,91.9,2010
2022-2023,MCV4,17,Lambton Public Health,95.4,2005
2022-2023,MCV4,12,"Leeds, Grenville & Lanark District Health Unit",76.4,2010
2022-2023,MCV4,17,"Leeds, Grenville & Lanark District Health Unit",83.7,2005
2022-2023,MCV4,12,Middlesex-London Health Unit,92.5,2010
2022-2023,MCV4,17,Middlesex-London Health Unit,89.4,2005
2022-2023,MCV4,12,Niagara Region Public Health,91.9,2010
2022-2023,MCV4,17,Niagara Region Public Health,93.7,2005
2022-2023,MCV4,12,North Bay Parry Sound District Health Unit,93.5,2010
2022-2023,MCV4,17,North Bay Parry Sound District Health Unit,93.0,2005
2022-2023,MCV4,12,Northeastern Public Health,91.9,2010
2022-2023,MCV4,17,Northeastern Public Health,95.8,2005
2022-2023,MCV4,12,Northwestern Health Unit,93.4,2010
2022-2023,MCV4,17,Northwestern Health Unit,95.7,2005
2022-2023,MCV4,12,Ontario,86.0,2010
2022-2023,MCV4,17,Ontario,91.3,2005
2022-2023,MCV4,12,Ottawa Public Health,86.4,2010
2022-2023,MCV4,17,Ottawa Public Health,91.8,2005
2022-2023,MCV4,12,Peel Public Health,81.9,2010
2022-2023,MCV4,17,Peel Public Health,92.5,2005
2022-2023,MCV4,12,Peterborough Public Health,84.1,2010
2022-2023,MCV4,17,Peterborough Public Health,93.8,2005
2022-2023,MCV4,12,Porcupine Health Unit,90.8,2010
2022-2023,MCV4,17,Porcupine Health Unit,96.4,2005
2022-2023,MCV4,12,Public Health Sudbury & Districts,91.2,2010
2022-2023,MCV4,17,Public Health Sudbury & Districts,96.4,2005
2022-2023,MCV4,12,Region of Waterloo Public Health and Emergency Services,91.5,2010
2022-2023,MCV4,17,Region of Waterloo Public Health and Emergency Services,92.6,2005
2022-2023,MCV4,12,Region of Waterloo Public Health and Paramedic Services,89.8,2010
2022-2023,MCV4,17,Region of Waterloo Public Health and Paramedic Services,92.6,2005
2022-2023,MCV4,12,Renfrew County and District Health Unit,90.2,2010
2022-2023,MCV4,17,Renfrew County and District Health Unit,95.0,2005
2022-2023,MCV4,12,Simcoe Muskoka District Health Unit,81.3,2010
2022-2023,MCV4,17,Simcoe Muskoka District Health Unit,93.3,2005
2022-2023,MCV4,12,Southeast Public Health,89.4,2010
2022-2023,MCV4,17,Southeast Public Health,92.7,2005
2022-2023,MCV4,12,Southwestern Public Health,87.3,2010
2022-2023,MCV4,17,Southwestern Public Health,91.0,2005
2022-2023,MCV4,12,Thunder Bay District Health Unit,89.8,2010
2022-2023,MCV4,17,Thunder Bay District Health Unit,90.3,2005
2022-2023,MCV4,12,Timiskaming Health Unit,90.5,2010
2022-2023,MCV4,17,Timiskaming Health Unit,94.1,2005
2022-2023,MCV4,12,Toronto Public Health,77.3,2010
2022-2023,MCV4,17,Toronto Public Health,91.3,2005
2022-2023,MCV4,12,Wellington-Dufferin-Guelph Public Health,92.6,2010
2022-2023,MCV4,17,Wellington-Dufferin-Guelph Public Health,94.7,2005
2022-2023,MCV4,12,Windsor-Essex County Health Unit,93.3,2010
2022-2023,MCV4,17,Windsor-Essex County Health Unit,92.5,2005
2022-2023,MCV4,12,York Region Public Health,82.2,2010
2022-2023,MCV4,17,York Region Public Health,82.7,2005
2022-2023,Measles,7,Algoma Public Health,69.6,2015
2022-2023,Measles,17,Algoma Public Health,95.4,2005
2022-2023,Measles,7,Brant County Health Unit,87.8,2015
2022-2023,Measles,17,Brant County Health Unit,95.0,2005
2022-2023,Measles,7,Chatham-Kent Public Health,90.3,2015
2022-2023,Measles,17,Chatham-Kent Public Health,95.6,2005
2022-2023,Measles,7,City of Hamilton Public Health Services,71.5,2015
2022-2023,Measles,17,City of Hamilton Public Health Services,92.5,2005
2022-2023,Measles,7,Durham Region Health Department,81.3,2015
2022-2023,Measles,17,Durham Region Health Department,95.9,2005
2022-2023,Measles,7,Eastern Ontario Health Unit,76.1,2015
2022-2023,Measles,17,Eastern Ontario Health Unit,88.9,2005
2022-2023,Measles,7,Grand Erie Public Health,89.1,2015
2022-2023,Measles,17,Grand Erie Public Health,91.9,2005
2022-2023,Measles,7,Grey Bruce Health Unit,85.1,2015
2022-2023,Measles,17,Grey Bruce Health Unit,94.1,2005
2022-2023,Measles,7,Grey Bruce Public Health,83.6,2015
2022-2023,Measles,17,Grey Bruce Public Health,94.1,2005
2022-2023,Measles,7,Haldimand-Norfolk Health Unit,90.3,2015
2022-2023,Measles,17,Haldimand-Norfolk Health Unit,87.5,2005
2022-2023,Measles,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",82.5,2015
2022-2023,Measles,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",94.8,2005
2022-2023,Measles,7,Halton Region Public Health,35.6,2015
2022-2023,Measles,17,Halton Region Public Health,94.0,2005
2022-2023,Measles,7,Hastings Prince Edward Public Health,90.0,2015
2022-2023,Measles,17,Hastings Prince Edward Public Health,96.1,2005
2022-2023,Measles,7,Huron Perth Public Health,83.9,2015
2022-2023,Measles,17,Huron Perth Public Health,94.3,2005
2022-2023,Measles,7,"Kingston, Frontenac and Lennox & Addington Public Health",96.0,2015
2022-2023,Measles,17,"Kingston, Frontenac and Lennox & Addington Public Health",97.9,2005
2022-2023,Measles,7,Lakelands Public Health,77.2,2015
2022-2023,Measles,17,Lakelands Public Health,94.8,2005
2022-2023,Measles,7,Lambton Public Health,84.3,2015
2022-2023,Measles,17,Lambton Public Health,97.1,2005
2022-2023,Measles,7,"Leeds, Grenville & Lanark District Health Unit",65.4,2015
2022-2023,Measles,17,"Leeds, Grenville & Lanark District Health Unit",90.2,2005
2022-2023,Measles,7,Middlesex-London Health Unit,91.3,2015
2022-2023,Measles,17,Middlesex-London Health Unit,92.1,2005
2022-2023,Measles,7,Niagara Region Public Health,85.7,2015
2022-2023,Measles,17,Niagara Region Public Health,94.2,2005
2022-2023,Measles,7,North Bay Parry Sound District Health Unit,83.5,2015
2022-2023,Measles,17,North Bay Parry Sound District Health Unit,95.5,2005
2022-2023,Measles,7,Northeastern Public Health,88.6,2015
2022-2023,Measles,17,Northeastern Public Health,98.0,2005
2022-2023,Measles,7,Northwestern Health Unit,94.1,2015
2022-2023,Measles,17,Northwestern Health Unit,96.9,2005
2022-2023,Measles,7,Ontario,74.5,2015
2022-2023,Measles,17,Ontario,92.4,2005
2022-2023,Measles,7,Ottawa Public Health,81.7,2015
2022-2023,Measles,17,Ottawa Public Health,93.0,2005
2022-2023,Measles,7,Peel Public Health,65.5,2015
2022-2023,Measles,17,Peel Public Health,93.2,2005
2022-2023,Measles,7,Peterborough Public Health,67.1,2015
2022-2023,Measles,17,Peterborough Public Health,95.0,2005
2022-2023,Measles,7,Porcupine Health Unit,87.9,2015
2022-2023,Measles,17,Porcupine Health Unit,98.4,2005
2022-2023,Measles,7,Public Health Sudbury & Districts,84.1,2015
2022-2023,Measles,17,Public Health Sudbury & Districts,97.2,2005
2022-2023,Measles,7,Region of Waterloo Public Health and Emergency Services,81.7,2015
2022-2023,Measles,17,Region of Waterloo Public Health and Emergency Services,93.9,2005
