public_health_unit,outcome,surveillance_period,surveillance_week,start_of_time_period,end_of_time_period,number,population,number_per_100_000_population
Peel Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,1675372,0.0
Peel Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,3,1675372,0.2
Peel Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,1,1675372,0.1
Peel Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,3,1675372,0.2
Peel Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,5,1675372,0.3
Peel Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,1675372,0.0
Peel Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,2,1675372,0.1
Peel Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,1675372,0.0
Peel Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,1675372,0.0
Peel Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,1675372,0.0
Peel Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,1,1675372,0.1
Peel Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,1675372,0.1
Public Health Sudbury & Districts,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Public Health Sudbury & Districts,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,229026,0.0
Region of Waterloo Public Health and Paramedic Services,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,743647,0.0
Region of Waterloo Public Health and Paramedic Services,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,743647,0.0
Region of Waterloo Public Health and Paramedic Services,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,743647,0.0
Region of Waterloo Public Health and Paramedic Services,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,743647,0.1
Region of Waterloo Public Health and Paramedic Services,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,743647,0.1
Region of Waterloo Public Health and Paramedic Services,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,1,743647,0.1
Region of Waterloo Public Health and Paramedic Services,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,743647,0.2
Region of Waterloo Public Health and Paramedic Services,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,743647,0.0
Region of Waterloo Public Health and Paramedic Services,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,743647,0.0
Region of Waterloo Public Health and Paramedic Services,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,743647,0.0
Region of Waterloo Public Health and Paramedic Services,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,743647,0.0
Region of Waterloo Public Health and Paramedic Services,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,743647,0.0
Region of Waterloo Public Health and Paramedic Services,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,743647,0.0
Renfrew County and District Health Unit,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Renfrew County and District Health Unit,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,117692,0.0
Simcoe Muskoka District Health Unit,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,700245,0.0
Simcoe Muskoka District Health Unit,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,700245,0.0
Simcoe Muskoka District Health Unit,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,1,700245,0.1
Simcoe Muskoka District Health Unit,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,1,700245,0.1
Simcoe Muskoka District Health Unit,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,700245,0.1
Simcoe Muskoka District Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,1,700245,0.1
Simcoe Muskoka District Health Unit,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,700245,0.0
Simcoe Muskoka District Health Unit,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,700245,0.0
Simcoe Muskoka District Health Unit,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,700245,0.0
Simcoe Muskoka District Health Unit,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,700245,0.0
Simcoe Muskoka District Health Unit,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,700245,0.0
Simcoe Muskoka District Health Unit,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,700245,0.0
Simcoe Muskoka District Health Unit,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,700245,0.0
South East Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,629144,0.0
South East Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,629144,0.0
South East Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,629144,0.0
South East Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,629144,0.0
South East Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,629144,0.2
South East Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,5,629144,0.8
South East Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,629144,0.0
South East Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,629144,0.0
South East Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,629144,0.0
South East Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,629144,0.0
South East Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,629144,0.0
South East Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,629144,0.0
South East Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,629144,0.0
Southwestern Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Southwestern Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,246771,0.0
Thunder Bay District Health Unit,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,166704,0.0
Thunder Bay District Health Unit,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,166704,0.0
Thunder Bay District Health Unit,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,166704,0.0
Thunder Bay District Health Unit,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,1,166704,0.5
Thunder Bay District Health Unit,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,166704,0.8
Thunder Bay District Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,1,166704,0.9
Thunder Bay District Health Unit,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,166704,0.0
Thunder Bay District Health Unit,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,166704,0.0
Thunder Bay District Health Unit,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,166704,0.0
Thunder Bay District Health Unit,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,166704,0.0
Thunder Bay District Health Unit,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,166704,0.0
Thunder Bay District Health Unit,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,1,166704,0.6
Thunder Bay District Health Unit,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,166704,0.1
Toronto Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,3255595,0.0
Toronto Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,3255595,0.0
Toronto Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,3,3255595,0.1
Toronto Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,1,3255595,0.0
Toronto Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,14,3255595,0.4
Toronto Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,22,3255595,0.7
Toronto Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,4,3255595,0.1
Toronto Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,2,3255595,0.1
Toronto Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,3,3255595,0.1
Toronto Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,9,3255595,0.3
Toronto Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,3255595,0.0
Toronto Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,3255595,0.0
Toronto Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,3255595,0.0
Wellington-Dufferin-Guelph Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,349242,0.0
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,349242,0.0
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,349242,0.0
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,349242,0.0
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,349242,0.0
Wellington-Dufferin-Guelph Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,1,349242,0.2
Wellington-Dufferin-Guelph Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,349242,0.0
Wellington-Dufferin-Guelph Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,349242,0.0
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,1,349242,0.2
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,349242,0.2
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,349242,0.0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,349242,0.0
Wellington-Dufferin-Guelph Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,349242,0.0
Windsor-Essex County Health Unit,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
Windsor-Essex County Health Unit,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,500859,0.0
York Region Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,1289799,0.0
York Region Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,1289799,0.0
York Region Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,1289799,0.0
York Region Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,1,1289799,0.1
York Region Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,1289799,0.1
York Region Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,3,1289799,0.2
York Region Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,1289799,0.0
York Region Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,1289799,0.0
York Region Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,1289799,0.0
York Region Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,2,1289799,0.1
York Region Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,1289799,0.0
York Region Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,1289799,0.0
York Region Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,1289799,0.1
