Public_health_unit,Antigen,Age,Year,Coverage
Grey Bruce Health Unit,Pertussis,7,2017-2018,94.7
Grey Bruce Health Unit,Pneumo,7,2017-2018,79.3
Grey Bruce Health Unit,Polio,17,2017-2018,93.7
Grey Bruce Health Unit,Polio,7,2017-2018,94.9
Grey Bruce Health Unit,Rubella,17,2017-2018,94.8
Grey Bruce Health Unit,Rubella,7,2017-2018,96.6
Grey Bruce Health Unit,Tetanus,17,2017-2018,86.9
Grey Bruce Health Unit,Tetanus,7,2017-2018,94.8
Grey Bruce Health Unit,Varicella,7,2017-2018,92.6
Grey Bruce Health Unit,Diphtheria,17,2018-2019,84.1
Grey Bruce Health Unit,Diphtheria,7,2018-2019,93.8
Grey Bruce Health Unit,HPV,12,2018-2019,64.2
Grey Bruce Health Unit,HPV,17,2018-2019,63.8
Grey Bruce Health Unit,HepB,12,2018-2019,75.6
Grey Bruce Health Unit,HepB,17,2018-2019,84
Grey Bruce Health Unit,Hib,7,2018-2019,90.4
Grey Bruce Health Unit,MCC,7,2018-2019,94.8
Grey Bruce Health Unit,MCV4,12,2018-2019,92
Grey Bruce Health Unit,MCV4,17,2018-2019,91.7
Grey Bruce Health Unit,Measles,17,2018-2019,92.8
Grey Bruce Health Unit,Measles,7,2018-2019,94.2
Grey Bruce Health Unit,Mumps,17,2018-2019,92.7
Grey Bruce Health Unit,Mumps,7,2018-2019,94.2
Grey Bruce Health Unit,Pertussis,17,2018-2019,84.8
Grey Bruce Health Unit,Pertussis,7,2018-2019,93.8
Grey Bruce Health Unit,Pneumo,7,2018-2019,86.4
Grey Bruce Health Unit,Polio,17,2018-2019,92.3
Grey Bruce Health Unit,Polio,7,2018-2019,94.1
Grey Bruce Health Unit,Rubella,17,2018-2019,93.5
Grey Bruce Health Unit,Rubella,7,2018-2019,96
Grey Bruce Health Unit,Tetanus,17,2018-2019,84.1
Grey Bruce Health Unit,Tetanus,7,2018-2019,93.8
Grey Bruce Health Unit,Varicella,7,2018-2019,93
Grey Bruce Health Unit,Diphtheria,17,2019-2020,80
Grey Bruce Health Unit,Diphtheria,7,2019-2020,93.8
Grey Bruce Health Unit,HPV,12,2019-2020,67.9
Grey Bruce Health Unit,HPV,17,2019-2020,72.2
Grey Bruce Health Unit,HepB,12,2019-2020,74.3
Grey Bruce Health Unit,HepB,17,2019-2020,83.1
Grey Bruce Health Unit,Hib,7,2019-2020,90.4
Grey Bruce Health Unit,MCC,7,2019-2020,94.9
Grey Bruce Health Unit,MCV4,12,2019-2020,94.1
Grey Bruce Health Unit,MCV4,17,2019-2020,92.3
Grey Bruce Health Unit,Measles,17,2019-2020,93.9
Grey Bruce Health Unit,Measles,7,2019-2020,93.2
Grey Bruce Health Unit,Mumps,17,2019-2020,93.8
Grey Bruce Health Unit,Mumps,7,2019-2020,93.2
Grey Bruce Health Unit,Pertussis,17,2019-2020,80.5
Grey Bruce Health Unit,Pertussis,7,2019-2020,93.8
Grey Bruce Health Unit,Pneumo,7,2019-2020,86.8
Grey Bruce Health Unit,Polio,17,2019-2020,93.3
Grey Bruce Health Unit,Polio,7,2019-2020,93.9
Grey Bruce Health Unit,Rota,7,2019-2020,71.7
Grey Bruce Health Unit,Rubella,17,2019-2020,95.1
Grey Bruce Health Unit,Rubella,7,2019-2020,95.9
Grey Bruce Health Unit,Tetanus,17,2019-2020,80
Grey Bruce Health Unit,Tetanus,7,2019-2020,93.8
Grey Bruce Health Unit,Varicella,7,2019-2020,92
Grey Bruce Health Unit,Diphtheria,17,2020-2021,74.1
Grey Bruce Health Unit,Diphtheria,7,2020-2021,82.7
Grey Bruce Health Unit,HPV,12,2020-2021,65.6
Grey Bruce Health Unit,HPV,17,2020-2021,72.6
Grey Bruce Health Unit,HepB,12,2020-2021,72.8
Grey Bruce Health Unit,HepB,17,2020-2021,88.7
Grey Bruce Health Unit,Hib,7,2020-2021,90.6
Grey Bruce Health Unit,MCC,7,2020-2021,95.2
Grey Bruce Health Unit,MCV4,12,2020-2021,90
Grey Bruce Health Unit,MCV4,17,2020-2021,95.3
Grey Bruce Health Unit,Measles,17,2020-2021,96.5
Grey Bruce Health Unit,Measles,7,2020-2021,82.6
Grey Bruce Health Unit,Mumps,17,2020-2021,96.4
Grey Bruce Health Unit,Mumps,7,2020-2021,82.6
Grey Bruce Health Unit,Pertussis,17,2020-2021,74.3
Grey Bruce Health Unit,Pertussis,7,2020-2021,82.7
Grey Bruce Health Unit,Pneumo,7,2020-2021,88.4
Grey Bruce Health Unit,Polio,17,2020-2021,95.1
Grey Bruce Health Unit,Polio,7,2020-2021,82.9
Grey Bruce Health Unit,Rota,7,2020-2021,73.3
Grey Bruce Health Unit,Rubella,17,2020-2021,97.1
Grey Bruce Health Unit,Rubella,7,2020-2021,95.7
Grey Bruce Health Unit,Tetanus,17,2020-2021,74.1
Grey Bruce Health Unit,Tetanus,7,2020-2021,82.7
Grey Bruce Health Unit,Varicella,7,2020-2021,80.8
Grey Bruce Health Unit,Diphtheria,17,2021-2022,54.4
Grey Bruce Health Unit,Diphtheria,7,2021-2022,77
Grey Bruce Health Unit,HPV,12,2021-2022,69.2
Grey Bruce Health Unit,HPV,17,2021-2022,72.5
Grey Bruce Health Unit,HepB,12,2021-2022,77
Grey Bruce Health Unit,HepB,17,2021-2022,83.5
Grey Bruce Health Unit,Hib,7,2021-2022,91.3
Grey Bruce Health Unit,MCC,7,2021-2022,95.1
Grey Bruce Health Unit,MCV4,12,2021-2022,90.5
Grey Bruce Health Unit,MCV4,17,2021-2022,94.4
Grey Bruce Health Unit,Measles,17,2021-2022,95.7
Grey Bruce Health Unit,Measles,7,2021-2022,77.9
Grey Bruce Health Unit,Mumps,17,2021-2022,95.7
Grey Bruce Health Unit,Mumps,7,2021-2022,77.9
Grey Bruce Health Unit,Pertussis,17,2021-2022,54.5
Grey Bruce Health Unit,Pertussis,7,2021-2022,77
Grey Bruce Health Unit,Pneumo,7,2021-2022,90.1
Grey Bruce Health Unit,Polio,17,2021-2022,94.2
Grey Bruce Health Unit,Polio,7,2021-2022,77.3
Grey Bruce Health Unit,Rota,7,2021-2022,76.6
Grey Bruce Health Unit,Rubella,17,2021-2022,96.5
Grey Bruce Health Unit,Rubella,7,2021-2022,96
Grey Bruce Health Unit,Tetanus,17,2021-2022,54.4
Grey Bruce Health Unit,Tetanus,7,2021-2022,77
Grey Bruce Health Unit,Varicella,7,2021-2022,76.1
Grey Bruce Health Unit,Diphtheria,17,2022-2023,67.1
Grey Bruce Health Unit,Diphtheria,7,2022-2023,85.4
Grey Bruce Health Unit,HPV,12,2022-2023,71.5
Grey Bruce Health Unit,HPV,17,2022-2023,74.1
Grey Bruce Health Unit,HepB,12,2022-2023,80
Grey Bruce Health Unit,HepB,17,2022-2023,84.2
Grey Bruce Health Unit,Hib,7,2022-2023,91.2
Grey Bruce Health Unit,MCC,7,2022-2023,94.8
Grey Bruce Health Unit,MCV4,12,2022-2023,91.6
Grey Bruce Health Unit,MCV4,17,2022-2023,93.2
Grey Bruce Health Unit,Measles,17,2022-2023,94.1
Grey Bruce Health Unit,Measles,7,2022-2023,85.1
Grey Bruce Health Unit,Mumps,17,2022-2023,94.1
Grey Bruce Health Unit,Mumps,7,2022-2023,85.2
Grey Bruce Health Unit,Pertussis,17,2022-2023,67.3
Grey Bruce Health Unit,Pertussis,7,2022-2023,85.3
Grey Bruce Health Unit,Pneumo,7,2022-2023,90.4
Grey Bruce Health Unit,Polio,17,2022-2023,93.1
Grey Bruce Health Unit,Polio,7,2022-2023,85.5
Grey Bruce Health Unit,Rota,7,2022-2023,81.6
Grey Bruce Health Unit,Rubella,17,2022-2023,95.5
Grey Bruce Health Unit,Rubella,7,2022-2023,95.7
Grey Bruce Health Unit,Tetanus,17,2022-2023,67.1
Grey Bruce Health Unit,Tetanus,7,2022-2023,85.4
Grey Bruce Health Unit,Varicella,7,2022-2023,83.7
Grey Bruce Health Unit,Diphtheria,17,2023-2024,82.9
Grey Bruce Health Unit,Diphtheria,7,2023-2024,90.6
Grey Bruce Health Unit,HPV,12,2023-2024,68.7
Grey Bruce Health Unit,HPV,17,2023-2024,75.1
Grey Bruce Health Unit,HepB,12,2023-2024,76
Grey Bruce Health Unit,HepB,17,2023-2024,86.9
Grey Bruce Health Unit,Hib,7,2023-2024,89.4
Grey Bruce Health Unit,MCC,7,2023-2024,94.7
Grey Bruce Health Unit,MCV4,12,2023-2024,88.6
Grey Bruce Health Unit,MCV4,17,2023-2024,95.9
Grey Bruce Health Unit,Measles,17,2023-2024,95.9
Grey Bruce Health Unit,Measles,7,2023-2024,90.2
Grey Bruce Health Unit,Mumps,17,2023-2024,95.9
Grey Bruce Health Unit,Mumps,7,2023-2024,90.2
Grey Bruce Health Unit,Pertussis,17,2023-2024,83.1
Grey Bruce Health Unit,Pertussis,7,2023-2024,90.6
Grey Bruce Health Unit,Pneumo,7,2023-2024,89
Grey Bruce Health Unit,Polio,17,2023-2024,95.9
Grey Bruce Health Unit,Polio,7,2023-2024,90.5
Grey Bruce Health Unit,Rota,7,2023-2024,82.3
Grey Bruce Health Unit,Rubella,17,2023-2024,97.4
Grey Bruce Health Unit,Rubella,7,2023-2024,95.6
Grey Bruce Health Unit,Tetanus,17,2023-2024,82.9
Grey Bruce Health Unit,Tetanus,7,2023-2024,90.6
Grey Bruce Health Unit,Varicella,7,2023-2024,89.8
Grey Bruce Health Unit,Diphtheria,17,2024-2025,81.7
Grey Bruce Health Unit,Diphtheria,7,2024-2025,90.6
Grey Bruce Health Unit,HPV,12,2024-2025,54.2
Grey Bruce Health Unit,HPV,17,2024-2025,71.9
Grey Bruce Health Unit,HepB,12,2024-2025,61.5
Grey Bruce Health Unit,HepB,17,2024-2025,76.8
Grey Bruce Health Unit,Hib,7,2024-2025,88.8
Grey Bruce Health Unit,MCC,7,2024-2025,94.5
Grey Bruce Health Unit,MCV4,12,2024-2025,84.1
Grey Bruce Health Unit,MCV4,17,2024-2025,93.3
Grey Bruce Health Unit,Measles,17,2024-2025,94.7
Grey Bruce Health Unit,Measles,7,2024-2025,90.6
Grey Bruce Health Unit,Mumps,17,2024-2025,94.5
Grey Bruce Health Unit,Mumps,7,2024-2025,90.5
Grey Bruce Health Unit,Pertussis,17,2024-2025,81.7
Grey Bruce Health Unit,Pertussis,7,2024-2025,90.6
Grey Bruce Health Unit,Pneumo,7,2024-2025,87.7
Grey Bruce Health Unit,Polio,17,2024-2025,93.1
Grey Bruce Health Unit,Polio,7,2024-2025,90.5
Grey Bruce Health Unit,Rota,7,2024-2025,80.9
Grey Bruce Health Unit,Rubella,17,2024-2025,95.8
Grey Bruce Health Unit,Rubella,7,2024-2025,95.4
Grey Bruce Health Unit,Tetanus,17,2024-2025,81.7
Grey Bruce Health Unit,Tetanus,7,2024-2025,90.6
Grey Bruce Health Unit,Varicella,7,2024-2025,90.2
Halton Region Public Health,Diphtheria,17,2015-2016,83
Halton Region Public Health,Diphtheria,7,2015-2016,49.7
Halton Region Public Health,HepB,12,2015-2016,62
Halton Region Public Health,Hib,7,2015-2016,83.2
Halton Region Public Health,MCC,7,2015-2016,82.9
Halton Region Public Health,MCV4,12,2015-2016,77.4
Halton Region Public Health,Measles,17,2015-2016,95.7
Halton Region Public Health,Measles,7,2015-2016,82.9
Halton Region Public Health,Mumps,17,2015-2016,95.3
Halton Region Public Health,Mumps,7,2015-2016,82.6
Halton Region Public Health,Pertussis,17,2015-2016,82.2
Halton Region Public Health,Pertussis,7,2015-2016,49.4
Halton Region Public Health,Pneumo,7,2015-2016,78.3
Halton Region Public Health,Polio,17,2015-2016,93.5
Halton Region Public Health,Polio,7,2015-2016,49.2
Halton Region Public Health,Rubella,17,2015-2016,97.4
Halton Region Public Health,Rubella,7,2015-2016,95.2
Halton Region Public Health,Tetanus,17,2015-2016,83
Halton Region Public Health,Tetanus,7,2015-2016,49.7
Halton Region Public Health,Varicella,7,2015-2016,19.9
Halton Region Public Health,Diphtheria,17,2016-2017,85.8
Halton Region Public Health,Diphtheria,7,2016-2017,68.2
Halton Region Public Health,HPV,12,2016-2017,44
Halton Region Public Health,HepB,12,2016-2017,58.4
Halton Region Public Health,Hib,7,2016-2017,82.6
Halton Region Public Health,MCC,7,2016-2017,87.6
Halton Region Public Health,MCV4,12,2016-2017,69.7
Halton Region Public Health,Measles,17,2016-2017,96.3
Halton Region Public Health,Measles,7,2016-2017,83.9
Halton Region Public Health,Mumps,17,2016-2017,96
Halton Region Public Health,Mumps,7,2016-2017,83.7
Halton Region Public Health,Pertussis,17,2016-2017,85.4
Halton Region Public Health,Pertussis,7,2016-2017,68
Halton Region Public Health,Pneumo,7,2016-2017,78.3
Halton Region Public Health,Polio,17,2016-2017,95.1
Halton Region Public Health,Polio,7,2016-2017,67.7
Halton Region Public Health,Rubella,17,2016-2017,97.6
Halton Region Public Health,Rubella,7,2016-2017,94.7
Halton Region Public Health,Tetanus,17,2016-2017,85.8
Halton Region Public Health,Tetanus,7,2016-2017,68.2
Halton Region Public Health,Varicella,7,2016-2017,40.9
Halton Region Public Health,Diphtheria,17,2017-2018,84.4
Halton Region Public Health,Diphtheria,7,2017-2018,68.9
Halton Region Public Health,HPV,12,2017-2018,55.7
Halton Region Public Health,HepB,12,2017-2018,65.1
Halton Region Public Health,Hib,7,2017-2018,81.2
Halton Region Public Health,MCC,7,2017-2018,87.4
Halton Region Public Health,MCV4,12,2017-2018,80.2
Halton Region Public Health,Measles,17,2017-2018,96
Halton Region Public Health,Measles,7,2017-2018,72.6
Halton Region Public Health,Mumps,17,2017-2018,95.6
Halton Region Public Health,Mumps,7,2017-2018,72.4
Halton Region Public Health,Pertussis,17,2017-2018,84.2
Halton Region Public Health,Pertussis,7,2017-2018,68.5
Halton Region Public Health,Pneumo,7,2017-2018,72.7
Halton Region Public Health,Polio,17,2017-2018,94.9
Halton Region Public Health,Polio,7,2017-2018,68.6
Halton Region Public Health,Rubella,17,2017-2018,97.4
Halton Region Public Health,Rubella,7,2017-2018,93.7
Halton Region Public Health,Tetanus,17,2017-2018,84.4
Halton Region Public Health,Tetanus,7,2017-2018,68.9
Halton Region Public Health,Varicella,7,2017-2018,61.7
Halton Region Public Health,Diphtheria,17,2018-2019,82.9
Halton Region Public Health,Diphtheria,7,2018-2019,47.8
Halton Region Public Health,HPV,12,2018-2019,55.3
Halton Region Public Health,HPV,17,2018-2019,52.5
Halton Region Public Health,HepB,12,2018-2019,62.5
Halton Region Public Health,HepB,17,2018-2019,71.2
Halton Region Public Health,Hib,7,2018-2019,78
Halton Region Public Health,MCC,7,2018-2019,86.1
Halton Region Public Health,MCV4,12,2018-2019,77.9
Halton Region Public Health,MCV4,17,2018-2019,93.4
Halton Region Public Health,Measles,17,2018-2019,96.3
Halton Region Public Health,Measles,7,2018-2019,50.1
Halton Region Public Health,Mumps,17,2018-2019,95.9
Halton Region Public Health,Mumps,7,2018-2019,49.9
Halton Region Public Health,Pertussis,17,2018-2019,83.2
Halton Region Public Health,Pertussis,7,2018-2019,47.5
Halton Region Public Health,Pneumo,7,2018-2019,71.6
Halton Region Public Health,Polio,17,2018-2019,94.9
Halton Region Public Health,Polio,7,2018-2019,47.6
Halton Region Public Health,Rubella,17,2018-2019,97.8
Halton Region Public Health,Rubella,7,2018-2019,91.6
Halton Region Public Health,Tetanus,17,2018-2019,82.9
Halton Region Public Health,Tetanus,7,2018-2019,47.8
Halton Region Public Health,Varicella,7,2018-2019,41.8
Halton Region Public Health,Diphtheria,17,2019-2020,87.2
Halton Region Public Health,Diphtheria,7,2019-2020,83.5
Halton Region Public Health,HPV,12,2019-2020,56.1
Halton Region Public Health,HPV,17,2019-2020,54.4
Halton Region Public Health,HepB,12,2019-2020,63.2
Halton Region Public Health,HepB,17,2019-2020,74.6
Halton Region Public Health,Hib,7,2019-2020,82.6
Halton Region Public Health,MCC,7,2019-2020,94
Halton Region Public Health,MCV4,12,2019-2020,94
Halton Region Public Health,MCV4,17,2019-2020,95.3
Halton Region Public Health,Measles,17,2019-2020,97.4
Halton Region Public Health,Measles,7,2019-2020,83.3
Halton Region Public Health,Mumps,17,2019-2020,97.3
Halton Region Public Health,Mumps,7,2019-2020,83.2
Halton Region Public Health,Pertussis,17,2019-2020,87.8
Halton Region Public Health,Pertussis,7,2019-2020,83.3
Halton Region Public Health,Pneumo,7,2019-2020,77.9
Halton Region Public Health,Polio,17,2019-2020,95.9
Halton Region Public Health,Polio,7,2019-2020,83.7
Halton Region Public Health,Rota,7,2019-2020,62.9
Halton Region Public Health,Rubella,17,2019-2020,98.7
Halton Region Public Health,Rubella,7,2019-2020,96.4
Halton Region Public Health,Tetanus,17,2019-2020,87.2
Halton Region Public Health,Tetanus,7,2019-2020,83.5
Halton Region Public Health,Varicella,7,2019-2020,80.6
Halton Region Public Health,Diphtheria,17,2020-2021,80.5
Halton Region Public Health,Diphtheria,7,2020-2021,32.7
Halton Region Public Health,HPV,12,2020-2021,53.2
Halton Region Public Health,HPV,17,2020-2021,50.7
Halton Region Public Health,HepB,12,2020-2021,62.9
Halton Region Public Health,HepB,17,2020-2021,69.2
Halton Region Public Health,Hib,7,2020-2021,75.9
Halton Region Public Health,MCC,7,2020-2021,80.6
Halton Region Public Health,MCV4,12,2020-2021,85.6
Halton Region Public Health,MCV4,17,2020-2021,94.9
Halton Region Public Health,Measles,17,2020-2021,96.9
Halton Region Public Health,Measles,7,2020-2021,34.1
Halton Region Public Health,Mumps,17,2020-2021,96.7
Halton Region Public Health,Mumps,7,2020-2021,33.9
Halton Region Public Health,Pertussis,17,2020-2021,81.1
Halton Region Public Health,Pertussis,7,2020-2021,32.5
Halton Region Public Health,Pneumo,7,2020-2021,74
Halton Region Public Health,Polio,17,2020-2021,95.5
Halton Region Public Health,Polio,7,2020-2021,32.3
Halton Region Public Health,Rota,7,2020-2021,68.6
Halton Region Public Health,Rubella,17,2020-2021,98.1
Halton Region Public Health,Rubella,7,2020-2021,88
Halton Region Public Health,Tetanus,17,2020-2021,80.5
Halton Region Public Health,Tetanus,7,2020-2021,32.6
Halton Region Public Health,Varicella,7,2020-2021,29.5
Halton Region Public Health,Diphtheria,17,2021-2022,60.7
Halton Region Public Health,Diphtheria,7,2021-2022,37.5
Halton Region Public Health,HPV,12,2021-2022,70.8
Halton Region Public Health,HPV,17,2021-2022,53.6
Halton Region Public Health,HepB,12,2021-2022,78.4
Halton Region Public Health,HepB,17,2021-2022,66.7
Halton Region Public Health,Hib,7,2021-2022,66.3
Halton Region Public Health,MCC,7,2021-2022,69.6
Halton Region Public Health,MCV4,12,2021-2022,89.7
Halton Region Public Health,MCV4,17,2021-2022,93.7
Halton Region Public Health,Measles,17,2021-2022,95.6
Halton Region Public Health,Measles,7,2021-2022,38.2
Halton Region Public Health,Mumps,17,2021-2022,95.3
Halton Region Public Health,Mumps,7,2021-2022,38
Halton Region Public Health,Pertussis,17,2021-2022,61.6
Halton Region Public Health,Pertussis,7,2021-2022,37.4
Halton Region Public Health,Pneumo,7,2021-2022,63.1
Halton Region Public Health,Polio,17,2021-2022,93.8
Halton Region Public Health,Polio,7,2021-2022,37.1
Halton Region Public Health,Rota,7,2021-2022,62
Halton Region Public Health,Rubella,17,2021-2022,97
Halton Region Public Health,Rubella,7,2021-2022,78.4
Halton Region Public Health,Tetanus,17,2021-2022,60.7
Halton Region Public Health,Tetanus,7,2021-2022,37.4
Halton Region Public Health,Varicella,7,2021-2022,34.7
Halton Region Public Health,Diphtheria,17,2022-2023,37.6
Halton Region Public Health,Diphtheria,7,2022-2023,34.4
Halton Region Public Health,HPV,12,2022-2023,69.4
Halton Region Public Health,HPV,17,2022-2023,63.7
Halton Region Public Health,HepB,12,2022-2023,78.7
Halton Region Public Health,HepB,17,2022-2023,71.6
Halton Region Public Health,Hib,7,2022-2023,62.6
Halton Region Public Health,MCC,7,2022-2023,65.6
Halton Region Public Health,MCV4,12,2022-2023,92.7
Halton Region Public Health,MCV4,17,2022-2023,92.8
